homework_id,client_id,date,score,topic
1,1,27.04.2025,3.2,Лексика
2,1,24.02.2025,4.7,Лексика
3,1,24.05.2025,3.8,Лексика
4,1,19.06.2025,2.4,Письмо
5,1,03.07.2025,3.3,Грамматика
6,1,18.04.2025,2.9,Лексика
7,1,15.06.2025,5.0,Грамматика
8,2,02.07.2024,1.0,Грамматика
9,2,26.06.2024,1.0,Лексика
10,2,09.10.2024,1.0,Аудирование
11,3,07.01.2025,1.0,Аудирование
12,3,07.03.2025,1.0,Грамматика
13,3,07.01.2025,1.0,Грамматика
14,3,11.01.2025,1.0,Лексика
15,3,15.03.2025,1.0,Лексика
16,3,01.01.2025,1.0,Лексика
17,4,17.07.2025,2.6,Письмо
18,4,13.06.2025,1.7,Лексика
19,4,16.02.2025,3.7,Лексика
20,4,29.03.2025,4.1,Письмо
21,4,03.06.2025,2.1,Грамматика
22,4,12.07.2025,2.1,Аудирование
23,5,22.02.2025,1.0,Лексика
24,5,02.04.2025,1.0,Аудирование
25,5,18.12.2024,1.0,Письмо
26,6,19.06.2025,5.0,Грамматика
27,6,04.04.2025,4.0,Письмо
28,7,03.10.2024,4.5,Аудирование
29,7,06.12.2024,2.9,Грамматика
30,8,13.03.2025,3.1,Лексика
31,8,03.03.2025,1.8,Лексика
32,8,11.05.2025,3.0,Аудирование
33,9,05.08.2025,2.6,Грамматика
34,9,12.08.2025,3.1,Письмо
35,9,20.10.2025,3.8,Грамматика
36,9,16.01.2026,2.2,Аудирование
37,9,18.09.2025,3.5,Грамматика
38,9,06.12.2025,2.0,Письмо
39,10,11.09.2024,2.4,Лексика
40,10,20.10.2024,2.6,Письмо
41,10,01.11.2024,3.9,Письмо
42,10,31.10.2024,3.6,Лексика
43,10,15.12.2024,2.3,Письмо
44,10,18.12.2024,4.0,Грамматика
45,10,24.09.2024,2.3,Лексика
46,11,04.06.2025,4.1,Письмо
47,11,25.06.2025,4.9,Письмо
48,11,11.06.2025,4.9,Письмо
49,11,29.05.2025,4.2,Аудирование
50,12,26.12.2025,2.7,Письмо
51,12,04.12.2025,3.0,Аудирование
52,12,14.11.2025,2.6,Письмо
53,13,31.01.2026,2.1,Лексика
54,13,26.03.2026,4.6,Лексика
55,14,05.05.2025,2.4,Лексика
56,14,10.05.2025,1.3,Грамматика
57,14,10.08.2025,1.0,Письмо
58,14,22.04.2025,2.6,Грамматика
59,14,23.08.2025,1.0,Лексика
60,15,24.05.2026,2.3,Грамматика
61,15,15.02.2026,3.2,Письмо
62,15,27.03.2026,3.8,Грамматика
63,15,05.02.2026,3.4,Грамматика
64,15,15.04.2026,3.3,Письмо
65,15,13.02.2026,4.2,Письмо
66,16,29.12.2024,3.2,Лексика
67,16,09.11.2024,3.2,Письмо
68,16,12.01.2025,3.6,Грамматика
69,16,13.01.2025,3.6,Аудирование
70,16,12.10.2024,3.6,Лексика
71,16,24.12.2024,4.0,Лексика
72,16,30.12.2024,4.4,Письмо
73,17,13.04.2025,3.2,Грамматика
74,17,17.03.2025,2.2,Письмо
75,17,22.03.2025,4.4,Грамматика
76,18,30.05.2025,3.5,Письмо
77,18,29.05.2025,1.0,Лексика
78,18,03.07.2025,1.4,Аудирование
79,18,15.06.2025,3.4,Лексика
80,19,08.03.2025,2.6,Лексика
81,19,20.02.2025,4.0,Лексика
82,19,28.04.2025,3.0,Грамматика
83,19,16.06.2025,3.3,Лексика
84,20,08.02.2026,3.0,Лексика
85,20,21.11.2025,4.6,Аудирование
86,20,21.03.2026,2.6,Письмо
87,20,26.02.2026,3.2,Письмо
88,20,22.11.2025,3.8,Аудирование
89,20,25.01.2026,3.3,Письмо
90,21,16.11.2024,3.2,Грамматика
91,21,18.11.2024,2.8,Лексика
92,21,25.09.2024,2.8,Лексика
93,21,08.02.2025,1.0,Грамматика
94,21,03.11.2024,1.5,Грамматика
95,21,25.09.2024,4.1,Письмо
96,22,14.09.2024,1.2,Лексика
97,22,27.08.2024,2.1,Письмо
98,23,06.01.2026,3.5,Аудирование
99,23,08.11.2025,2.9,Лексика
100,23,25.09.2025,2.8,Аудирование
101,23,06.12.2025,4.4,Письмо
102,23,25.10.2025,2.2,Грамматика
103,24,14.05.2025,2.2,Лексика
104,24,23.03.2025,1.7,Лексика
105,24,16.02.2025,3.2,Письмо
106,24,23.05.2025,1.0,Аудирование
107,24,24.03.2025,1.6,Письмо
108,24,02.06.2025,1.3,Грамматика
109,24,17.06.2025,1.0,Лексика
110,25,06.05.2026,1.0,Письмо
111,25,25.12.2025,1.7,Грамматика
112,25,20.03.2026,1.0,Письмо
113,26,05.04.2026,1.0,Аудирование
114,26,03.01.2026,1.0,Грамматика
115,27,18.11.2025,2.1,Лексика
116,27,09.04.2026,1.8,Грамматика
117,27,17.02.2026,1.1,Грамматика
118,27,05.03.2026,2.4,Письмо
119,27,04.02.2026,1.5,Грамматика
120,27,21.02.2026,1.7,Аудирование
121,27,25.11.2025,2.4,Лексика
122,28,28.01.2026,2.1,Письмо
123,28,02.03.2026,1.2,Грамматика
124,28,07.04.2026,1.0,Грамматика
125,28,19.05.2026,1.0,Аудирование
