lesson_id,client_id,date,time,branch,program,group,teacher,topic,enrolled,attended,total_absences,excused_absences,student_name,enrollment_status,attendance_flag,duration_academic_hours,duration_clock_hours
1,1,04.03.2025,15:00,Основной,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_1,активна,1,1.5,90
2,1,09.03.2025,17:00,Основной,Математика,A1,Иванов,Лексика,1,1,0,0,Ученик_1,активна,1,2.0,45
3,1,17.03.2025,11:00,Основной,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_1,активна,1,1.5,60
4,1,22.03.2025,20:00,Основной,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_1,активна,1,1.5,90
5,1,28.03.2025,11:00,Основной,Математика,B2,Сидорова,Грамматика,1,1,0,0,Ученик_1,активна,1,1.0,45
6,1,08.04.2025,11:00,Основной,Английский,A1,Сидорова,Разговор,1,0,0,0,Ученик_1,заморожена,0,1.5,90
7,2,27.04.2024,19:00,Южный,Программирование,B2,Иванов,Грамматика,1,0,0,0,Ученик_2,заморожена,0,1.0,45
8,2,04.05.2024,20:00,Южный,Программирование,A1,Сидорова,Разговор,1,1,0,0,Ученик_2,активна,1,1.5,90
9,2,06.05.2024,19:00,Южный,Математика,B2,Сидорова,Разговор,1,0,0,0,Ученик_2,заморожена,0,1.5,60
10,2,12.05.2024,10:00,Южный,Английский,B2,Сидорова,Разговор,1,1,0,0,Ученик_2,активна,1,2.0,45
11,2,19.05.2024,18:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_2,активна,1,1.0,90
12,2,28.05.2024,19:00,Южный,Программирование,B2,Петров,Разговор,1,1,0,0,Ученик_2,активна,1,1.0,45
13,2,07.06.2024,17:00,Южный,Английский,B2,Сидорова,Грамматика,1,1,0,0,Ученик_2,активна,1,1.5,90
14,2,16.06.2024,18:00,Южный,Программирование,C1,Сидорова,Грамматика,1,1,0,0,Ученик_2,активна,1,1.0,90
15,3,01.10.2024,18:00,Основной,Программирование,A1,Иванов,Разговор,1,1,0,0,Ученик_3,активна,1,1.5,60
16,3,08.10.2024,18:00,Основной,Английский,C1,Иванов,Грамматика,1,1,0,0,Ученик_3,активна,1,2.0,60
17,3,14.10.2024,10:00,Основной,Программирование,B2,Петров,Разговор,1,1,0,0,Ученик_3,активна,1,1.0,60
18,3,21.10.2024,9:00,Основной,Программирование,B2,Сидорова,Разговор,1,1,0,0,Ученик_3,активна,1,1.5,45
19,3,04.11.2024,17:00,Основной,Математика,C1,Сидорова,Разговор,1,1,0,0,Ученик_3,активна,1,1.0,90
20,4,01.02.2025,9:00,Северный,Английский,A1,Иванов,Грамматика,1,1,0,0,Ученик_4,активна,1,1.5,45
21,4,09.02.2025,12:00,Северный,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_4,активна,1,2.0,90
22,4,20.02.2025,13:00,Северный,Математика,B2,Сидорова,Грамматика,1,1,0,0,Ученик_4,активна,1,1.5,60
23,4,22.02.2025,19:00,Северный,Математика,C1,Иванов,Разговор,1,0,0,0,Ученик_4,заморожена,0,1.0,45
24,5,28.11.2024,20:00,Северный,Программирование,A1,Сидорова,Лексика,1,0,0,0,Ученик_5,заморожена,0,2.0,90
25,5,03.12.2024,11:00,Северный,Математика,B2,Петров,Грамматика,1,1,0,0,Ученик_5,активна,1,2.0,45
26,5,09.12.2024,17:00,Северный,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_5,активна,1,1.0,60
27,5,16.12.2024,14:00,Северный,Математика,A1,Иванов,Лексика,1,1,0,0,Ученик_5,активна,1,1.0,45
28,5,28.12.2024,12:00,Северный,Математика,A1,Иванов,Грамматика,1,0,0,0,Ученик_5,заморожена,0,2.0,90
29,5,02.01.2025,16:00,Северный,Английский,C1,Петров,Разговор,1,1,0,0,Ученик_5,активна,1,2.0,60
30,5,09.01.2025,9:00,Северный,Английский,B2,Петров,Грамматика,1,1,0,0,Ученик_5,активна,1,1.5,90
31,5,18.01.2025,11:00,Северный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_5,активна,1,2.0,45
32,5,21.01.2025,18:00,Северный,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_5,активна,1,2.0,60
33,5,29.01.2025,15:00,Северный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_5,активна,1,1.5,60
34,6,05.04.2025,15:00,Северный,Программирование,C1,Иванов,Лексика,1,1,0,0,Ученик_6,активна,1,2.0,45
35,6,12.04.2025,14:00,Северный,Английский,C1,Иванов,Грамматика,1,1,0,0,Ученик_6,активна,1,2.0,45
36,6,16.04.2025,9:00,Северный,Английский,C1,Петров,Разговор,1,1,0,0,Ученик_6,активна,1,1.5,45
37,6,28.04.2025,20:00,Северный,Английский,B2,Петров,Разговор,1,1,0,0,Ученик_6,активна,1,2.0,90
38,6,30.04.2025,18:00,Северный,Английский,C1,Иванов,Разговор,1,1,0,0,Ученик_6,активна,1,1.5,90
39,6,11.05.2025,20:00,Северный,Программирование,C1,Сидорова,Разговор,1,1,0,0,Ученик_6,активна,1,1.0,90
40,6,20.05.2025,19:00,Северный,Программирование,A1,Иванов,Грамматика,1,0,0,0,Ученик_6,заморожена,0,1.5,45
41,6,25.05.2025,15:00,Северный,Математика,B2,Иванов,Лексика,1,0,0,0,Ученик_6,заморожена,0,1.0,60
42,7,29.07.2024,10:00,Северный,Математика,B2,Петров,Лексика,1,1,0,0,Ученик_7,активна,1,1.5,45
43,7,02.08.2024,18:00,Северный,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_7,активна,1,2.0,45
44,7,16.08.2024,16:00,Северный,Английский,B2,Иванов,Разговор,1,0,0,0,Ученик_7,заморожена,0,1.5,60
45,7,20.08.2024,9:00,Северный,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_7,активна,1,1.5,45
46,7,24.08.2024,12:00,Северный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_7,активна,1,1.5,45
47,7,06.09.2024,19:00,Северный,Математика,A1,Петров,Лексика,1,1,0,0,Ученик_7,активна,1,1.5,60
48,7,11.09.2024,11:00,Северный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_7,активна,1,2.0,60
49,7,15.09.2024,20:00,Северный,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_7,активна,1,1.0,45
50,7,23.09.2024,11:00,Северный,Математика,B2,Сидорова,Лексика,1,1,0,0,Ученик_7,активна,1,1.0,45
51,8,03.01.2025,19:00,Северный,Математика,A1,Петров,Лексика,1,0,0,0,Ученик_8,заморожена,0,2.0,60
