Дата,Время,Филиал,Программа,Группа,Преподаватель,Тема,Записано,Пришло,Пропусков всего,Пропусков по уваж. причине,Ученик,Статус записи в группу,Посещение,Продолж. ас/ч,Продолж. ак/ч
04.03.2025,15:00,Основной,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_1,активна,1,1.5,90
09.03.2025,17:00,Основной,Математика,A1,Иванов,Лексика,1,1,0,0,Ученик_1,активна,1,2.0,45
17.03.2025,11:00,Основной,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_1,активна,1,1.5,60
22.03.2025,20:00,Основной,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_1,активна,1,1.5,90
28.03.2025,11:00,Основной,Математика,B2,Сидорова,Грамматика,1,1,0,0,Ученик_1,активна,1,1.0,45
08.04.2025,11:00,Основной,Английский,A1,Сидорова,Разговор,1,0,0,0,Ученик_1,заморожена,0,1.5,90
27.04.2024,19:00,Южный,Программирование,B2,Иванов,Грамматика,1,0,0,0,Ученик_2,заморожена,0,1.0,45
04.05.2024,20:00,Южный,Программирование,A1,Сидорова,Разговор,1,1,0,0,Ученик_2,активна,1,1.5,90
06.05.2024,19:00,Южный,Математика,B2,Сидорова,Разговор,1,0,0,0,Ученик_2,заморожена,0,1.5,60
12.05.2024,10:00,Южный,Английский,B2,Сидорова,Разговор,1,1,0,0,Ученик_2,активна,1,2.0,45
19.05.2024,18:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_2,активна,1,1.0,90
28.05.2024,19:00,Южный,Программирование,B2,Петров,Разговор,1,1,0,0,Ученик_2,активна,1,1.0,45
07.06.2024,17:00,Южный,Английский,B2,Сидорова,Грамматика,1,1,0,0,Ученик_2,активна,1,1.5,90
16.06.2024,18:00,Южный,Программирование,C1,Сидорова,Грамматика,1,1,0,0,Ученик_2,активна,1,1.0,90
01.10.2024,18:00,Основной,Программирование,A1,Иванов,Разговор,1,1,0,0,Ученик_3,активна,1,1.5,60
08.10.2024,18:00,Основной,Английский,C1,Иванов,Грамматика,1,1,0,0,Ученик_3,активна,1,2.0,60
14.10.2024,10:00,Основной,Программирование,B2,Петров,Разговор,1,1,0,0,Ученик_3,активна,1,1.0,60
21.10.2024,9:00,Основной,Программирование,B2,Сидорова,Разговор,1,1,0,0,Ученик_3,активна,1,1.5,45
04.11.2024,17:00,Основной,Математика,C1,Сидорова,Разговор,1,1,0,0,Ученик_3,активна,1,1.0,90
01.02.2025,9:00,Северный,Английский,A1,Иванов,Грамматика,1,1,0,0,Ученик_4,активна,1,1.5,45
09.02.2025,12:00,Северный,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_4,активна,1,2.0,90
20.02.2025,13:00,Северный,Математика,B2,Сидорова,Грамматика,1,1,0,0,Ученик_4,активна,1,1.5,60
22.02.2025,19:00,Северный,Математика,C1,Иванов,Разговор,1,0,0,0,Ученик_4,заморожена,0,1.0,45
28.11.2024,20:00,Северный,Программирование,A1,Сидорова,Лексика,1,0,0,0,Ученик_5,заморожена,0,2.0,90
03.12.2024,11:00,Северный,Математика,B2,Петров,Грамматика,1,1,0,0,Ученик_5,активна,1,2.0,45
09.12.2024,17:00,Северный,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_5,активна,1,1.0,60
16.12.2024,14:00,Северный,Математика,A1,Иванов,Лексика,1,1,0,0,Ученик_5,активна,1,1.0,45
28.12.2024,12:00,Северный,Математика,A1,Иванов,Грамматика,1,0,0,0,Ученик_5,заморожена,0,2.0,90
02.01.2025,16:00,Северный,Английский,C1,Петров,Разговор,1,1,0,0,Ученик_5,активна,1,2.0,60
09.01.2025,9:00,Северный,Английский,B2,Петров,Грамматика,1,1,0,0,Ученик_5,активна,1,1.5,90
18.01.2025,11:00,Северный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_5,активна,1,2.0,45
21.01.2025,18:00,Северный,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_5,активна,1,2.0,60
29.01.2025,15:00,Северный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_5,активна,1,1.5,60
05.04.2025,15:00,Северный,Программирование,C1,Иванов,Лексика,1,1,0,0,Ученик_6,активна,1,2.0,45
12.04.2025,14:00,Северный,Английский,C1,Иванов,Грамматика,1,1,0,0,Ученик_6,активна,1,2.0,45
16.04.2025,9:00,Северный,Английский,C1,Петров,Разговор,1,1,0,0,Ученик_6,активна,1,1.5,45
28.04.2025,20:00,Северный,Английский,B2,Петров,Разговор,1,1,0,0,Ученик_6,активна,1,2.0,90
30.04.2025,18:00,Северный,Английский,C1,Иванов,Разговор,1,1,0,0,Ученик_6,активна,1,1.5,90
11.05.2025,20:00,Северный,Программирование,C1,Сидорова,Разговор,1,1,0,0,Ученик_6,активна,1,1.0,90
20.05.2025,19:00,Северный,Программирование,A1,Иванов,Грамматика,1,0,0,0,Ученик_6,заморожена,0,1.5,45
25.05.2025,15:00,Северный,Математика,B2,Иванов,Лексика,1,0,0,0,Ученик_6,заморожена,0,1.0,60
29.07.2024,10:00,Северный,Математика,B2,Петров,Лексика,1,1,0,0,Ученик_7,активна,1,1.5,45
02.08.2024,18:00,Северный,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_7,активна,1,2.0,45
16.08.2024,16:00,Северный,Английский,B2,Иванов,Разговор,1,0,0,0,Ученик_7,заморожена,0,1.5,60
20.08.2024,9:00,Северный,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_7,активна,1,1.5,45
24.08.2024,12:00,Северный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_7,активна,1,1.5,45
06.09.2024,19:00,Северный,Математика,A1,Петров,Лексика,1,1,0,0,Ученик_7,активна,1,1.5,60
11.09.2024,11:00,Северный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_7,активна,1,2.0,60
15.09.2024,20:00,Северный,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_7,активна,1,1.0,45
23.09.2024,11:00,Северный,Математика,B2,Сидорова,Лексика,1,1,0,0,Ученик_7,активна,1,1.0,45
03.01.2025,19:00,Северный,Математика,A1,Петров,Лексика,1,0,0,0,Ученик_8,заморожена,0,2.0,60
09.01.2025,15:00,Северный,Программирование,C1,Сидорова,Лексика,1,1,0,0,Ученик_8,активна,1,1.0,45
15.01.2025,11:00,Северный,Английский,B2,Сидорова,Грамматика,1,0,0,0,Ученик_8,заморожена,0,2.0,45
21.01.2025,14:00,Северный,Математика,C1,Сидорова,Грамматика,1,0,0,0,Ученик_8,заморожена,0,1.5,60
01.02.2025,10:00,Северный,Математика,A1,Сидорова,Грамматика,1,1,0,0,Ученик_8,активна,1,2.0,90
06.02.2025,10:00,Северный,Математика,C1,Иванов,Разговор,1,1,0,0,Ученик_8,активна,1,1.5,45
18.02.2025,10:00,Северный,Программирование,C1,Сидорова,Разговор,1,0,0,0,Ученик_8,заморожена,0,1.0,45
30.07.2025,11:00,Южный,Математика,A1,Петров,Грамматика,1,1,0,0,Ученик_9,активна,1,1.0,60
04.08.2025,10:00,Южный,Английский,B2,Петров,Разговор,1,1,0,0,Ученик_9,активна,1,1.5,90
14.08.2025,15:00,Южный,Математика,A1,Сидорова,Лексика,1,1,0,0,Ученик_9,активна,1,2.0,45
21.08.2024,14:00,Южный,Математика,B2,Сидорова,Лексика,1,1,0,0,Ученик_10,активна,1,1.0,60
24.08.2024,9:00,Южный,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_10,активна,1,1.0,60
07.09.2024,18:00,Южный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_10,активна,1,1.5,60
29.04.2025,10:00,Основной,Программирование,A1,Сидорова,Разговор,1,1,0,0,Ученик_11,активна,1,1.0,60
06.05.2025,14:00,Основной,Программирование,C1,Сидорова,Разговор,1,1,0,0,Ученик_11,активна,1,1.5,45
12.05.2025,15:00,Основной,Английский,A1,Иванов,Разговор,1,1,0,0,Ученик_11,активна,1,2.0,90
16.05.2025,19:00,Основной,Английский,A1,Сидорова,Лексика,1,1,0,0,Ученик_11,активна,1,1.0,45
27.05.2025,16:00,Основной,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_11,активна,1,1.0,45
01.06.2025,20:00,Основной,Математика,C1,Петров,Лексика,1,1,0,0,Ученик_11,активна,1,1.5,90
05.11.2025,10:00,Основной,Математика,B2,Сидорова,Разговор,1,0,0,0,Ученик_12,заморожена,0,1.0,45
15.11.2025,11:00,Основной,Математика,A1,Сидорова,Грамматика,1,0,0,0,Ученик_12,заморожена,0,2.0,45
24.11.2025,17:00,Основной,Программирование,A1,Иванов,Лексика,1,1,0,0,Ученик_12,активна,1,2.0,60
01.12.2025,13:00,Основной,Английский,A1,Иванов,Грамматика,1,1,0,0,Ученик_12,активна,1,2.0,45
02.12.2025,17:00,Основной,Математика,C1,Сидорова,Разговор,1,0,0,0,Ученик_12,заморожена,0,2.0,60
13.12.2025,13:00,Основной,Программирование,B2,Сидорова,Грамматика,1,0,0,0,Ученик_12,заморожена,0,1.0,45
17.11.2025,13:00,Северный,Английский,C1,Иванов,Лексика,1,0,0,0,Ученик_13,заморожена,0,1.0,60
24.11.2025,12:00,Северный,Английский,C1,Иванов,Грамматика,1,0,0,0,Ученик_13,заморожена,0,2.0,60
06.12.2025,20:00,Северный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_13,активна,1,1.5,90
12.12.2025,9:00,Северный,Программирование,A1,Петров,Грамматика,1,1,0,0,Ученик_13,активна,1,2.0,60
17.12.2025,9:00,Северный,Программирование,C1,Сидорова,Грамматика,1,1,0,0,Ученик_13,активна,1,2.0,90
28.12.2025,13:00,Северный,Программирование,C1,Сидорова,Разговор,1,0,0,0,Ученик_13,заморожена,0,1.0,60
